Country,Year,£
FRA,1995,2766000000
FRA,1996,2963000000
FRA,1997,3024000000
FRA,1998,2879000000
FRA,1999,2891000000
FRA,2000,1497000000
FRA,2001,1327000000
FRA,2002,1642000000
FRA,2003,2198000000
FRA,2004,2432000000
FRA,2005,2347000000
FRA,2006,2330300000
FRA,2007,2468000000
FRA,2008,2958000000
FRA,2009,3386000000
FRA,2010,3277000000
FRA,2011,4589000000
FRA,2012,5381000000
FRA,2013,7808000000
FRA,2014,6823000000
FRA,2015,6224000000
FRA,2016,5244000000
DEU,1995,5747000000
DEU,1996,5200000000
DEU,1997,4745000000
DEU,1998,4423000000
DEU,1999,7350000000
DEU,2000,5305000000
DEU,2001,5481000000
DEU,2002,7437000000
DEU,2003,7228000000
DEU,2004,6404000000
DEU,2005,3411000000
DEU,2006,3971000000
DEU,2007,3836000000
DEU,2008,3816000000
DEU,2009,3412000000
DEU,2010,3807000000
DEU,2011,4086000000
DEU,2012,3930000000
DEU,2013,4210000000
DEU,2014,4420000000
DEU,2015,4750000000
DEU,2016,4840000000
JPN,1995,8456340090
JPN,1996,7522380694
JPN,1997,6198278849
JPN,1998,6186887287
JPN,1999,8308133793
JPN,2000,10145572962
JPN,2001,9586956887
JPN,2002,9085073599
JPN,2003,7522860701
JPN,2004,6214676346
JPN,2005,6050438950
JPN,2006,6738741816
JPN,2007,6882796271
JPN,2008,7369257130
JPN,2009,9601945141
JPN,2010,11305885029
JPN,2011,10208813812
JPN,2012,11803122282
JPN,2013,9192030123
JPN,2014,8644266433
JPN,2015,8880164753
JPN,2016,9174734997
CHE,1995,1079262375
CHE,1996,1170131361
CHE,1997,1231527094
CHE,1998,1290302694
CHE,1999,1342789303
CHE,2000,1463054503
CHE,2001,1643935381
CHE,2002,2011995638
CHE,2003,2004340107
CHE,2004,2115795609
CHE,2005,2191435768
CHE,2006,2350772360
CHE,2007,2329092348
CHE,2008,2622393044
CHE,2009,2888270746
CHE,2010,3032122703
CHE,2011,3410048622
CHE,2012,3463867917
CHE,2013,3665610529
CHE,2014,3550139964
CHE,2015,4193518172
CHE,2016,4056136489
GBR,1995,2413751508
GBR,1996,2734423006
GBR,1997,3361247473
GBR,1998,3910085773
GBR,1999,4816444175
GBR,2000,4874487285
GBR,2001,5875542692
GBR,2002,6749363868
GBR,2003,7493857494
GBR,2004,5450928382
GBR,2005,5756689574
GBR,2006,7939278381
GBR,2007,7729667741
GBR,2008,7538440678
GBR,2009,6307135218
GBR,2010,6387090422
GBR,2011,7532693017
GBR,2012,8765858710
GBR,2013,8426353038
GBR,2014,10094250992
GBR,2015,14327356749
GBR,2016,13578355111
USA,1995,3300466254
USA,1996,4112642773
USA,1997,5167944988
USA,1998,6060687193
USA,1999,5662729659
USA,2000,7018398268
USA,2001,6891469406
USA,2002,6102233041
USA,2003,6043858873
USA,2004,5020509933
USA,2005,5133354756
USA,2006,6730907064
USA,2007,6681015614
USA,2008,6950224398
USA,2009,7140601450
USA,2010,7364335243
USA,2011,8335848243
USA,2012,10478375856
USA,2013,9856196356
USA,2014,11347832631
USA,2015,15687635184